Video name,DATE,Played Time,Played Num,OSX Desktop,IOS,Linux Desktop,Window Desktop,Android,Bot,
20170809_minieat_cheeseball_480p.mp4,2019-01-15,60,1,0,0,0,1,0,0,
20180318_ENT_film2_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20180718_ENT_gill_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20180207_minieat_480p.mp4,2019-01-15,165,1,0,1,0,0,0,0,
20170202_ENT_Sammi_480p.mp4,2019-01-15,0,1,0,0,0,0,0,1,
20180619_ENT_live_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20180205_Fin_HSBC_480p.mp4,2019-01-15,115,1,0,1,0,0,0,0,
20170312_ENT_YuqiZhang_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20170110_ENT_SUKI_480p.mp4,2019-01-15,35,1,0,0,0,1,0,0,
20181224_3ManLive_Ep40Xmas_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20170124_IT_SONY_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20171027_TGIF_Urchin_480p.mp4,2019-01-15,75,1,0,0,0,1,0,0,
20171127_ENT_tvb_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20181212_ENT_grace_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20170817_cuson_citysick_480p.mp4,2019-01-15,90,1,0,0,0,1,0,0,
20170801_Tseng_zok_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20180914_Showbiz_Jason_v2_480p.mp4,2019-01-15,245,1,1,0,0,0,0,0,
20170808_amStory_intDe_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20181209_ENT_hui_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20170612_daily_TuenMun_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20170328_TrendReport_Manolo_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20171023_ENT_liza_480p.mp4,2019-01-15,5,1,0,0,0,1,0,0,
20180226_ENT_live_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20180831_andy_HKPolice_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20180912_ENT_lee_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20170827_ENT_Wang_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20170608_IT_VModa_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20171229_showbiz_MandyLam_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20180814_NetDaily_Girl_480p.mp4,2019-01-15,30,1,0,0,0,1,0,0,
20180128_ENT_so_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20170210_Anticancer_480p.mp4,2019-01-15,0,1,0,0,0,1,0,0,
20170302_Daily_Cloths_HD_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20181107_Eat_oolongtea_480p.mp4,2019-01-15,100,1,0,0,0,1,0,0,
20171128_Tseng_House_480p.mp4,2019-01-15,0,1,0,1,0,0,0,0,
20180215_zodiac_Dragon_480p.mp4,2019-01-15,110,1,0,0,0,1,0,0,
